iter	Passed	Remaining
210	370	1384
211	372	1383
212	373	1379
213	374	1374
214	375	1370
215	376	1365
216	377	1360
217	378	1356
218	379	1352
219	380	1348
220	382	1349
221	384	1346
222	385	1342
223	386	1338
224	387	1333
225	387	1328
226	388	1324
227	390	1320
228	391	1317
229	392	1314
230	395	1315
231	396	1312
232	397	1309
233	398	1305
234	399	1300
235	400	1296
236	401	1293
237	402	1290
238	404	1287
239	407	1291
240	409	1288
241	410	1284
242	411	1281
243	412	1277
244	413	1275
245	415	1272
246	416	1269
247	417	1266
248	419	1264
249	420	1261
250	421	1257
251	422	1253
252	423	1249
253	424	1246
254	425	1242
255	426	1238
256	427	1235
257	428	1232
258	429	1229
259	431	1227
260	432	1223
261	433	1220
262	434	1217
263	435	1214
264	436	1211
265	437	1208
266	439	1205
267	440	1202
268	441	1198
269	442	1195
270	443	1193
271	444	1190
272	445	1187
273	446	1183
274	448	1181
275	449	1178
276	452	1179
277	453	1176
278	454	1174
279	457	1175
280	457	1171
281	458	1168
282	459	1165
283	460	1161
284	461	1158
285	463	1156
286	465	1157
287	467	1154
288	468	1152
289	471	1153
290	472	1151
291	473	1148
292	474	1145
293	475	1141
294	476	1139
295	478	1138
296	480	1137
297	482	1137
298	484	1135
299	485	1132
300	486	1129
301	487	1126
302	488	1123
303	489	1120
304	490	1117
305	492	1116
306	494	1115
307	495	1112
308	496	1110
309	497	1107
310	498	1104
311	499	1102
312	500	1099
313	501	1096
314	504	1096
315	506	1095
316	507	1093
317	508	1090
318	509	1087
319	511	1086
320	512	1083
321	513	1080
322	514	1078
323	516	1078
324	519	1077
325	520	1075
326	521	1072
327	522	1070
328	523	1067
329	524	1064
330	525	1061
331	526	1060
332	528	1058
333	530	1058
334	531	1055
335	532	1052
336	533	1050
337	535	1048
338	536	1045
339	537	1042
340	538	1041
341	540	1039
342	542	1038
343	543	1035
344	544	1032
345	545	1030
346	546	1028
347	547	1026
348	549	1024
349	551	1023
350	552	1021
351	553	1019
352	554	1016
353	555	1014
354	557	1012
355	558	1009
356	559	1007
357	560	1005
358	562	1005
359	564	1003
360	566	1001
361	566	999
362	568	997
363	569	994
364	570	992
365	571	989
366	572	987
367	578	993
368	579	991
369	580	988
370	582	986
371	583	984
372	584	982
373	585	979
374	586	978
375	588	977
376	590	975
377	591	973
378	592	970
379	593	968
380	594	966
381	595	963
382	596	960
383	597	958
384	598	956
385	600	954
386	602	954
387	603	951
388	604	949
389	605	946
390	606	944
391	607	941
392	608	939
393	609	936
394	609	934
395	611	933
396	613	931
397	614	930
398	615	927
399	616	925
400	617	922
401	619	920
402	620	919
403	621	916
404	622	914
405	623	912
406	624	910
407	626	908
408	627	906
409	628	904
410	629	901
411	630	900
412	631	898
413	632	895
414	633	893
415	634	890
416	635	888
417	637	887
418	639	886
419	640	884
420	641	882
421	643	880
422	644	878
423	644	876
424	645	873
425	646	871
426	648	869
427	649	868
428	651	866
429	652	864
430	653	862
431	654	860
432	655	858
433	656	855
434	657	853
435	658	851
436	659	849
437	660	847
438	662	846
439	664	845
440	665	843
441	666	841
442	667	839
443	668	837
444	669	834
445	670	832
446	671	830
447	672	829
448	674	827
449	675	825
450	676	824
451	677	821
452	678	819
453	679	817
454	680	815
455	681	813
456	682	810
457	683	808
458	684	806
459	685	804
460	686	803
461	687	801
462	689	799
463	690	797
464	691	795
465	692	793
466	693	791
467	694	789
468	695	787
469	696	785
470	698	784
